CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,1824843,1824843,277.27M,277.27M,NEW,5%
30212P303,EXPE,EXPEDIA GROUP INC,1568117,1568117,238.02M,238.02M,NEW,4.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,1398413,1398413,206.14M,206.14M,NEW,3.7%
M7S64H106,MNDY,MONDAY COM LTD,1047147,1047147,196.66M,196.66M,NEW,3.5%
679295105,OKTA,OKTA INC,2405200,2048701,217.74M,185.47M,+574.7%,3.9%
N14506104,ESTC,ELASTIC N V,2421360,1206637,272.89M,135.99M,+99.3%,4.9%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,1030248,1030248,112.34M,112.34M,NEW,2%
15101Q108,,CELESTICA INC,4178298,2794009,122.34M,81.81M,+201.8%,2.2%
58733R102,MELI,MERCADOLIBRE INC,107137,47452,168.37M,74.57M,+79.5%,3%
G3323L100,FN,FABRINET,643227,371351,122.43M,70.68M,+136.6%,2.2%
82509L107,SHOP,SHOPIFY INC,725554,725554,56.52M,56.52M,NEW,1%
26622P107,DOCS,DOXIMITY INC,1517171,1517171,42.54M,42.54M,NEW,0.76%
650111107,NYT,NEW YORK TIMES CO,764832,764832,37.47M,37.47M,NEW,0.67%
30303M102,META,META PLATFORMS INC,1371405,84686,485.42M,29.98M,+6.6%,8.7%
418100103,HCP,HASHICORP INC,1161171,1161171,27.45M,27.45M,NEW,0.49%
466313103,JBL,JABIL INC,1260832,185904,160.63M,23.68M,+17.3%,2.9%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,1025785,1025785,19.82M,19.82M,NEW,0.35%
57142B104,MQ,MARQETA INC,3847929,1155668,26.86M,8.07M,+42.9%,0.48%
722304102,PDD,PDD HOLDINGS INC,1719272,48372,251.55M,7.08M,+2.9%,4.5%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,220954,9216,60.18M,2.51M,+4.4%,1.1%
49845K101,KVYO,KLAVIYO INC,260896,10896,7.25M,302.69K,+4.4%,0.13%
G6683N103,NU,NU HLDGS LTD,24800522,-257677,206.59M,-2.15M,-1%,3.7%
98980G102,ZS,ZSCALER INC,580154,-16797,128.54M,-3.72M,-2.8%,2.3%
M7516K103,NVMI,NOVA LTD,0,-96473,0,-10.85M,CLOSE,0%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,112192,-328943,3.81M,-11.17M,-74.6%,0.07%
26603R106,DUOL,DUOLINGO INC,1029590,-55488,233.56M,-12.59M,-5.1%,4.2%
60937P106,MDB,MONGODB INC,57476,-46489,23.5M,-19.01M,-44.7%,0.42%
98138H101,WDAY,WORKDAY INC,592639,-69219,163.6M,-19.11M,-10.5%,2.9%
86800U104,SUPER,SUPER MICRO COMPUTER INC,313775,-80125,89.19M,-22.78M,-20.3%,1.6%
683344105,ONTO,ONTO INNOVATION INC,0,-180162,0,-22.97M,CLOSE,0%
26142V105,DKNG,DRAFTKINGS INC NEW,7598350,-725719,267.84M,-25.58M,-8.7%,4.8%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,378027,-144219,82.81M,-31.59M,-27.6%,1.5%
M20791105,CAMT,CAMTEK LTD,0,-679156,0,-42.28M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,419618,-73599,243.61M,-42.73M,-14.9%,4.4%
697435105,PANW,PALO ALTO NETWORKS INC,464942,-146084,137.1M,-43.08M,-23.9%,2.5%
22266T109,CPNG,COUPANG INC,0,-2554134,0,-43.42M,CLOSE,0%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,0,-463930,0,-49.43M,CLOSE,0%
79589L106,IOT,SAMSARA INC,1189584,-1692209,39.71M,-56.49M,-58.7%,0.71%
682189105,ON,ON SEMICONDUCTOR CORP,1116685,-752597,93.28M,-62.86M,-40.3%,1.7%
888787108,TOST,TOAST INC,0,-3683886,0,-69M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,1157407,-215175,435.23M,-80.91M,-15.7%,7.8%
054540208,ACLS,AXCELIS TECHNOLOGIES INC,0,-517062,0,-84.31M,CLOSE,0%
750917106,RMBS,RAMBUS INC DEL,0,-1885137,0,-105.17M,CLOSE,0%
23804L103,DDOG,DATADOG INC,494641,-903353,60.04M,-109.65M,-64.6%,1.1%
79466L302,CRM,SALESFORCE INC,0,-572086,0,-116.01M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,234900,-1143384,24.77M,-120.55M,-83%,0.44%
67066G104,NVDA,NVIDIA CORPORATION,507004,-270519,251.08M,-133.97M,-34.8%,4.5%
34959E109,FTNT,FORTINET INC,0,-2301531,0,-135.05M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-1579841,0,-206.74M,CLOSE,0%
848637104,,SPLUNK INC,0,-1767057,0,-258.43M,CLOSE,0%
Total,,,,,5.59B,-107.22M,-2.2%,100%
