CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
7591EP100,RF,Regions Financial Corp (rf),12057,-1648,233.66K,-31.94K,-12%,0.1%
629377508,NRG,NRG Energy Inc (nrg),4766,-635,246.4K,-32.83K,-11.8%,0.11%
31620R303,FNF,Fidelity National Financial (f,5909,-822,301.48K,-41.94K,-12.2%,0.13%
17275R102,CSCO,Cisco Systems Inc (csco),7489,-859,378.34K,-43.4K,-10.3%,0.17%
31847R102,FAF,First American Financial (faf),4994,-689,321.81K,-44.4K,-12.1%,0.14%
00130H105,AES,AES Corp (aes),16882,-2323,324.98K,-44.72K,-12.1%,0.14%
969457100,WMB,Williams Co (wmb),10567,-1345,368.05K,-46.85K,-11.3%,0.16%
78464A763,SDY,SPDR S&P Dividend (sdy),1699,-376,212.28K,-46.98K,-18.1%,0.09%
464287804,IJR,Ishares Core S&P Sm Cap (ijr),1919,-448,207.73K,-48.5K,-18.9%,0.09%
56585A102,MPC,Marathon Petroleum,2394,-333,355.17K,-49.4K,-12.2%,0.16%
464287507,IJH,Ishares Core S&P Midcap etf (i,1602,-200,443.99K,-55.43K,-11.1%,0.2%
055622104,BP,BP Plc (bp),11404,-1599,403.7K,-56.6K,-12.3%,0.18%
30231G102,XOM,Exxon Mobil Corp (xom),5634,-567,563.29K,-56.69K,-9.1%,0.25%
G5960L103,MDT,Medtronic Plc (mdt),37242,-846,3.07M,-69.69K,-2.2%,1.4%
46284V101,IRM,Iron Mountain Inc (irm),6176,-1041,432.2K,-72.85K,-14.4%,0.19%
92826C839,V,Visa Inc-Class A Shares (v),2145,-288,558.45K,-74.98K,-11.8%,0.25%
14149Y108,CAH,Cardinal Health Inc (cah),4968,-765,500.77K,-77.11K,-13.3%,0.22%
931142103,WMT,Wal-Mart Stores Inc (wmt),4740,-510,747.26K,-80.4K,-9.7%,0.33%
89832Q109,TFC,Truist Financial Corp (tfc),5855,-3558,216.17K,-131.36K,-37.8%,0.1%
00206R102,T,At&T Inc (t),0,-11136,0,-167.26K,CLOSE,0%
060505104,BAC,Bank Of America Corp (bac),40298,-4971,1.36M,-167.37K,-11%,0.6%
78463V107,GLD,Spdr Gold Tr Spdr (gld),8954,-952,1.71M,-181.99K,-9.6%,0.76%
92343V104,VZ,Verizon Communications Inc (vz,11235,-4847,423.56K,-182.73K,-30.1%,0.19%
219350105,GLW,Corning Inc (glw),0,-6866,0,-209.21K,CLOSE,0%
78464A474,SPSB,SPDR Port Short Term Corp (sps,0,-7247,0,-212.48K,CLOSE,0%
260557103,DOW,Dow Chemical (dow),5267,-4243,288.84K,-232.69K,-44.6%,0.13%
302491303,FMC,FMC (fmc),0,-3556,0,-238.15K,CLOSE,0%
882508104,TXN,Texas Instruments Inc (txn),0,-1568,0,-249.33K,CLOSE,0%
828806109,SPG,Simon Property Group Inc (spg),2123,-1821,302.82K,-259.75K,-46.2%,0.13%
404280406,HSBC,HSBC Holdings (hsbc),0,-6736,0,-265.8K,CLOSE,0%
58933Y105,MRK,Merck & Co (mrk),79032,-2987,8.62M,-325.64K,-3.6%,3.8%
502431109,LHX,L3 Harris Technologies (lhx),0,-2024,0,-352.42K,CLOSE,0%
369550108,GD,General Dynamics (gd),0,-1838,0,-406.14K,CLOSE,0%
22052L104,CTVA,Corteva Inc (ctva),5244,-11158,251.29K,-534.69K,-68%,0.11%
458140100,INTC,Intel Corp (intc),6701,-11102,336.73K,-557.88K,-62.4%,0.15%
084670702,BRK.B,Berkshire Hathaway (brk/b),7043,-3032,2.51M,-1.08M,-30.1%,1.1%
78467V608,SRLN,SPDR Blackstone Sr Loan (srln),0,-30145,0,-1.26M,CLOSE,0%
46138G508,BKLN,Invesco Senior Loan (bkln),0,-64781,0,-1.36M,CLOSE,0%
110122108,BMY,Bristol-Myers Squibb Co (bmy),0,-51067,0,-2.96M,CLOSE,0%
46090F100,PDBC,Invesco Opt Yld Divers (pdbc),0,-224546,0,-3.36M,CLOSE,0%
03831W108,APP,AppLovin Corp - Cl A (app),597886,-103000,23.83M,-4.1M,-14.7%,10.5%
46138B103,DBC,Invesco DB Commodity Index (db,0,-375865,0,-9.38M,CLOSE,0%
Total,,,,,225.87M,-7.86M,-3.6%,100%
