CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
399909100,GGAL,GRUPO FINANCIERO GALICIA-ADR,126173,126173,1.65M,1.65M,NEW,0.54%
878742204,TECK,TECK RESOURCES LTD-CLS B,55383,7537,2.39M,324.77K,+15.8%,0.79%
11271J107,BN,BROOKFIELD CORP,187860,0,5.87M,0,NO CHANGE,1.9%
126402106,CSW,CSW INDUSTRIALS INC,15624,0,2.74M,0,NO CHANGE,0.9%
140501107,CSWC,CAPITAL SOUTHWEST CORP,106270,0,2.43M,0,NO CHANGE,0.8%
113004105,BAM,BROOKFIELD ASSET MGMT-A,47197,0,1.57M,0,NO CHANGE,0.52%
P31076105,CPA,COPA HOLDINGS SA-CLASS A,13902,0,1.24M,0,NO CHANGE,0.41%
G16250105,,BROOKFIELD REINSURANCE LTD,971,0,30.56K,0,NO CHANGE,0.01%
G27358103,DESP,DESPEGAR.COM CORP,4306940,-259714,31.23M,-1.88M,-5.7%,10.3%
G0457F107,ARCO,ARCOS DORADOS HOLDINGS INC-A,2611909,-282790,24.71M,-2.68M,-9.8%,8.2%
29269R105,EFXT,ENERFLEX LTD,2940178,-477644,16.89M,-2.74M,-14%,5.6%
67077M108,NTR,NUTRIEN LTD,485374,-53784,29.98M,-3.32M,-10%,9.9%
47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,1130489,-107366,41.41M,-3.93M,-8.7%,13.7%
962879102,WPM,WHEATON PRECIOUS METALS CORP,797854,-99121,32.35M,-4.02M,-11.1%,10.7%
13321L108,CCJ,CAMECO CORP,832963,-223518,33.06M,-8.87M,-21.2%,10.9%
84790A105,SPB,SPECTRUM BRANDS HOLDINGS INC,481751,-177437,37.75M,-13.9M,-26.9%,12.5%
88642R109,TDW,TIDEWATER INC,530513,-265589,37.7M,-18.88M,-33.4%,12.4%
Total,,,,,303M,-58.25M,-17.1%,100%
