CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,1735,1735,969.8K,969.8K,NEW,1.4%
78468R663,BIL,SPDR SER TR,5460,5460,501.34K,501.34K,NEW,0.73%
016255101,ALGN,ALIGN TECHNOLOGY INC,2830,1310,864.06K,399.97K,+86.2%,1.3%
146869102,CVNA,CARVANA CO,536000,0,22.5M,0,NO CHANGE,33%
88160R101,TSLA,TESLA INC,75000,0,18.77M,0,NO CHANGE,27.5%
22266T109,CPNG,COUPANG INC,714285,0,12.14M,0,NO CHANGE,17.8%
00827B106,AFRM,AFFIRM HLDGS INC,291152,0,6.19M,0,NO CHANGE,9.1%
77664L207,ROOT,ROOT INC,486111,0,4.62M,0,NO CHANGE,6.8%
75321W103,PACK,RANPAK HOLDINGS CORP,97517,0,530.49K,0,NO CHANGE,0.78%
833445109,SNOW,SNOWFLAKE INC,3400,0,519.42K,0,NO CHANGE,0.76%
00724F101,ADBE,ADOBE INC,975,0,497.15K,0,NO CHANGE,0.73%
83193G107,SMRT,SMARTRENT INC,46590,0,121.6K,0,NO CHANGE,0.18%
464287234,EEM,ISHARES TR,0,-5170,0,-204.52K,CLOSE,0%
87043Q108,SG,SWEETGREEN INC,0,-596897,0,-7.65M,CLOSE,0%
Total,,,,,68.23M,-5.99M,-9.2%,100%
