CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
921937835,BND,VANGUARD BD INDEX FDS,19794,-330,1.43M,-23.78K,-1.6%,0.68%
09352U108,BLND,BLEND LABS INC,196599,-11578,463.97K,-27.32K,-5.6%,0.22%
25434V104,DFAU,DIMENSIONAL ETF TRUST,130679,-784,4.9M,-29.39K,-0.6%,2.3%
79466L302,CRM,SALESFORCE INC,1876,-120,482.32K,-30.85K,-6%,0.23%
025072877,AVUV,AMERICAN CENTY ETF TR,47309,-828,4.24M,-74.29K,-1.7%,2%
808524102,SCHB,SCHWAB STRATEGIC TR,67174,-1397,4.22M,-87.83K,-2%,2%
92203C303,VUSB,VANGUARD BD INDEX FDS,13568,-3026,671.91K,-149.85K,-18.2%,0.32%
86800U104,SUPER,SUPER MICRO COMPUTER INC,0,-206,0,-208.07K,CLOSE,0%
46434V878,ICSH,ISHARES TR,0,-5490,0,-277.59K,CLOSE,0%
25434V609,DFAT,DIMENSIONAL ETF TRUST,28356,-7563,1.47M,-392.3K,-21.1%,0.7%
Total,,,,,211.18M,11.47M,+5.9%,100%
