CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,3638560,1813717,656.32M,327.16M,+99.4%,9.8%
79466L302,CRM,SALESFORCE INC,950736,950736,286.34M,286.34M,NEW,4.3%
67066G104,NVDA,NVIDIA CORPORATION,821936,314932,742.67M,284.56M,+62.1%,11%
03831W108,APP,APPLOVIN CORP,2818974,2818974,195.13M,195.13M,NEW,2.9%
573874104,MRVL,MARVELL TECHNOLOGY INC,2561493,2561493,181.56M,181.56M,NEW,2.7%
888787108,TOST,TOAST INC,7187434,7187434,179.11M,179.11M,NEW,2.7%
595112103,MU,MICRON TECHNOLOGY INC,1058492,1058492,124.79M,124.79M,NEW,1.9%
19247G107,COHR,COHERENT CORP,2041374,2041374,123.75M,123.75M,NEW,1.8%
418100103,HCP,HASHICORP INC,4565728,3404557,123.05M,91.75M,+293.2%,1.8%
26603R106,DUOL,DUOLINGO INC,1275189,245599,281.28M,54.17M,+23.9%,4.2%
594918104,MSFT,MICROSOFT CORP,1266838,109431,532.98M,46.04M,+9.5%,7.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,236418,236418,32.16M,32.16M,NEW,0.48%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,1270870,240622,148.32M,28.08M,+23.4%,2.2%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,459828,81801,122.14M,21.73M,+21.6%,1.8%
49845K101,KVYO,KLAVIYO INC,579113,318217,14.76M,8.11M,+122%,0.22%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,1333957,308172,18.49M,4.27M,+30%,0.27%
G6683N103,NU,NU HLDGS LTD,25004827,204305,298.31M,2.44M,+0.8%,4.4%
60937P106,MDB,MONGODB INC,55485,-1991,19.9M,-714.05K,-3.5%,0.3%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,213297,-7657,66.4M,-2.38M,-3.5%,0.99%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,0,-112192,0,-3.81M,CLOSE,0%
G3323L100,FN,FABRINET,620879,-22348,117.36M,-4.22M,-3.5%,1.7%
679295105,OKTA,OKTA INC,2275743,-129457,238.09M,-13.54M,-5.4%,3.5%
15101Q108,,CELESTICA INC,3774912,-403386,169.64M,-18.13M,-9.7%,2.5%
68389X105,ORCL,ORACLE CORP,0,-234900,0,-24.77M,CLOSE,0%
57142B104,MQ,MARQETA INC,0,-3847929,0,-26.86M,CLOSE,0%
650111107,NYT,NEW YORK TIMES CO,0,-764832,0,-37.47M,CLOSE,0%
466313103,JBL,JABIL INC,967518,-293314,129.6M,-39.29M,-23.3%,1.9%
443573100,HUBS,HUBSPOT INC,356270,-63348,223.22M,-39.69M,-15.1%,3.3%
58733R102,MELI,MERCADOLIBRE INC,80879,-26258,122.29M,-39.7M,-24.5%,1.8%
79589L106,IOT,SAMSARA INC,0,-1189584,0,-39.71M,CLOSE,0%
30303M102,META,META PLATFORMS INC,1289164,-82241,625.99M,-39.93M,-6%,9.3%
697435105,PANW,PALO ALTO NETWORKS INC,319888,-145054,90.89M,-41.21M,-31.2%,1.4%
26622P107,DOCS,DOXIMITY INC,0,-1517171,0,-42.54M,CLOSE,0%
30212P303,EXPE,EXPEDIA GROUP INC,1194326,-373791,164.52M,-51.49M,-23.8%,2.4%
722304102,PDD,PDD HOLDINGS INC,1238584,-480688,143.99M,-55.88M,-28%,2.1%
82509L107,SHOP,SHOPIFY INC,0,-725554,0,-56.52M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-494641,0,-60.04M,CLOSE,0%
26142V105,DKNG,DRAFTKINGS INC NEW,6178836,-1419514,280.58M,-64.46M,-18.7%,4.2%
86800U104,SUPER,SUPER MICRO COMPUTER INC,0,-313775,0,-89.19M,CLOSE,0%
682189105,ON,ON SEMICONDUCTOR CORP,0,-1116685,0,-93.28M,CLOSE,0%
98138H101,WDAY,WORKDAY INC,230974,-361665,63M,-98.64M,-61%,0.94%
N14506104,ESTC,ELASTIC N V,1147224,-1274136,115M,-127.72M,-52.6%,1.7%
98980G102,ZS,ZSCALER INC,0,-580154,0,-128.54M,CLOSE,0%
M7S64H106,MNDY,MONDAY COM LTD,431365,-615782,97.43M,-139.09M,-58.8%,1.4%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-1398413,0,-206.14M,CLOSE,0%
Total,,,,,6.73B,406.19M,+7.3%,100%
