CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
848577AB8,,SPIRIT AIRLS INC,101537000,34037000,47.35M,15.87M,+50.4%,12.8%
74347G416,SDS,PROSHARES TR,10000,10000,248.6K,248.6K,NEW,0.07%
69036R863,SFGRX,OVERSEAS SHIPHOLDING GROUP I,4264087,0,27.29M,0,NO CHANGE,7.4%
34984V209,FET,FORUM ENERGY TECHNOLOGIES IN,19433,-20326,388.27K,-406.11K,-51.1%,0.1%
46090R104,ICMB,INVESTCORP CR MGMT BDC INC,670270,-478939,2.08M,-1.49M,-41.7%,0.56%
419879101,,HAWAIIAN HOLDINGS INC,1163357,-214370,15.51M,-2.86M,-15.6%,4.2%
848577102,AAL,SPIRIT AIRLS INC,0,-700304,0,-11.48M,CLOSE,0%
366505105,GTX,GARRETT MOTION INC,27834399,-1722745,276.67M,-17.12M,-5.8%,74.5%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,30638,-578976,1.63M,-30.8M,-95%,0.44%
Total,,,,,371.17M,-48.04M,-11.5%,100%
