CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594972408,MSTR,MICROSTRATEGY Inc,0,-1150,0,-726.36K,CLOSE,0%
037833100,AAPL,Apple Inc,0,-4400,0,-847.12K,CLOSE,0%
571903202,MAR,Marriott Intl Inc New,17250,-7150,4.35M,-1.8M,-29.3%,1.5%
126650100,CVS,CVS Health Corp,0,-26800,0,-2.12M,CLOSE,0%
90384S303,ULTA,Ulta Beauty Inc,0,-4700,0,-2.3M,CLOSE,0%
75886F107,REGN,REGENERON PHARMACEUTICALS,0,-2800,0,-2.46M,CLOSE,0%
125523100,CI,The Cigna Group,0,-8650,0,-2.59M,CLOSE,0%
03662Q105,ANSS,ANSYS Inc,0,-7250,0,-2.63M,CLOSE,0%
15118V207,CELH,Celsius Hldgs Inc,0,-49000,0,-2.67M,CLOSE,0%
11135F101,AVGO,Broadcom Inc,0,-2400,0,-2.68M,CLOSE,0%
443573100,HUBS,HubSpot Inc,0,-4700,0,-2.73M,CLOSE,0%
88339J105,TTD,The Trade Desk Inc,0,-40200,0,-2.89M,CLOSE,0%
049468101,TEAM,Atlassian Corp,0,-13100,0,-3.12M,CLOSE,0%
87151X101,SYM,Symbotic Inc,0,-62500,0,-3.21M,CLOSE,0%
038222105,AMAT,Applied Matls Inc,0,-24800,0,-4.02M,CLOSE,0%
86800U104,SUPER,Super Micro Computer Inc,8030,-7920,8.11M,-8M,-49.7%,2.8%
00724F101,ADBE,Adobe Inc,0,-14450,0,-8.62M,CLOSE,0%
617446448,MS,Morgan Stanley,0,-106400,0,-9.92M,CLOSE,0%
89832Q109,TFC,TRUIST FINL CORP,0,-308000,0,-11.37M,CLOSE,0%
Total,,,,,286.34M,83.01M,+51%,100%
