CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
89601Y119,IRAAW,TRIBE CAPITAL GROWTH CORP I,117681,-57317,60K,-29.22K,-32.8%,<.01%
194170114,,COLICITY INC,42706,-76327,17K,-30.38K,-64.1%,<.01%
G46044114,,HORIZON ACQUISITION CORPORAT,105133,-48000,69K,-31.5K,-31.3%,0.01%
G30092111,,ELLIOTT OPPORTUNITY II CORP,72815,-52183,45K,-32.25K,-41.7%,<.01%
71531R109,,PERSHING SQUARE TONTINE HLDG,339389,-1662,6.75M,-33.05K,-0.5%,1%
G50737124,JWSWF,JAWS MUSTANG ACQUISITION COR,222071,-67859,109K,-33.31K,-23.4%,0.02%
457679116,CTV,INNOVID CORP,17439,-34761,17K,-33.89K,-66.6%,<.01%
12520R114,,CF ACQUISITION CORP V,0,-66666,0,-36K,CLOSE,0%
77867Q110,,ROTH CH ACQUISITION III CO,0,-33712,0,-38K,CLOSE,0%
90138P118,,26 CAPITAL ACQUISITION CORP,174812,-75188,90K,-38.71K,-30.1%,0.01%
382873115,,GORES METROPOULOS II INC,0,-21811,0,-42K,CLOSE,0%
G0411R114,,APOLLO STRATEGIC GROWTH CAPT,210633,-31703,289K,-43.5K,-13.1%,0.04%
83363K110,,SOCIAL LEVERAGE ACQUISN CORP,139441,-109484,56K,-43.97K,-44%,<.01%
53960E114,LOCLW,LOCAL BOUNTI CORP,0,-69004,0,-46K,CLOSE,0%
051774115,AUROW,AURORA INNOVATION INC,89217,-31274,132K,-46.27K,-26%,0.02%
86934L111,,SUSTAINABLE DEVELP ACQU I CO,288299,-161701,86K,-48.24K,-35.9%,0.01%
76155Y116,,REVOLUTION HEALTHCAR AQ CORP,418272,-111504,188K,-50.12K,-21%,0.03%
50066V115,,KORE GROUP HOLDINGS INC,39850,-60150,38K,-57.36K,-60.2%,<.01%
G9460M124,,WARBURG PINCUS CAPTAL CORP I,131612,-135395,59K,-60.7K,-50.7%,<.01%
G0R21B112,,ARCLIGHT CLEAN TRANSITION II,53051,-46949,71K,-62.83K,-46.9%,0.01%
72703X114,PLWS,PLANET LABS PBC,281628,-58372,377K,-78.14K,-17.2%,0.06%
00739D117,,ADTHEORENT HOLDING COMPANY,0,-115677,0,-79K,CLOSE,0%
G76279119,,ROIVANT SCIENCES LTD,59775,-90225,53K,-80K,-60.2%,<.01%
G82514103,,SOCIAL CAPITAL HEDOSOPHA HLD,0,-11358,0,-116K,CLOSE,0%
12521J111,,CF ACQUISITION CORP VI,0,-45000,0,-117K,CLOSE,0%
G61074103,,PRIME IMPACT ACQUISITION I,0,-12930,0,-127K,CLOSE,0%
86738J114,,SUNLIGHT FINANCIAL HOLDINGS,297835,-150376,262K,-132.28K,-33.6%,0.04%
G7S24C129,,PIONEER MERGER CORP,0,-15000,0,-151K,CLOSE,0%
G0316P122,,ALPHA CAPITAL ACQUISITION CO,357611,-267289,206K,-153.97K,-42.8%,0.03%
187171103,CLIM,CLIMATE REAL IMPACT SLUTINS,195310,-18552,1.91M,-181.62K,-8.7%,0.29%
24803C102,FOXO,DELWINDS INS ACQUISITION COR,0,-19400,0,-192K,CLOSE,0%
84677R114,,SPARTAN ACQUISITION CORP III,0,-150000,0,-216K,CLOSE,0%
362019101,,GO ACQUISITION CORP,0,-22434,0,-221K,CLOSE,0%
449534106,IGAC,IG ACQUISITION CORP,0,-24819,0,-243K,CLOSE,0%
242794113,,DECARBONIZATION PLUS ACQU II,0,-166666,0,-262K,CLOSE,0%
26829T118,,ECP ENVIRONMENTAL GW OPT COR,0,-381625,0,-269K,CLOSE,0%
18274B106,,CLASS ACCELERATION CORP,0,-28708,0,-279K,CLOSE,0%
02217A102,AMPS,ALTUS POWER INC,0,-28204,0,-295K,CLOSE,0%
G8T86C121,,SUPERNOVA PARTNERS ACQUISTN,0,-125000,0,-296K,CLOSE,0%
48253T109,,KKR ACQUISITION HOLDING I CO,0,-32656,0,-318K,CLOSE,0%
G5463R102,,LEO HLDGS CORP II,0,-32592,0,-318K,CLOSE,0%
92244F109,,VECTOIQ ACQUISITION CORP II,123685,-32947,1.22M,-323.92K,-21%,0.18%
91864C107,BRNS,VACCITECH PLC,0,-30698,0,-341K,CLOSE,0%
86738J106,,SUNLIGHT FINANCIAL HOLDINGS,331690,-70954,1.67M,-357.67K,-17.6%,0.25%
23291W109,,DHB CAPITAL CORP,0,-38538,0,-376K,CLOSE,0%
G5709C109,,MSD ACQUISITION CORP,1277688,-46449,12.52M,-455.19K,-3.5%,1.9%
382870103,,GORES TECHNOLOGY PARTNERS IN,0,-50000,0,-492K,CLOSE,0%
29408N106,,ENVIRONMENTAL IMPACT ACQU CO,0,-50000,0,-496K,CLOSE,0%
23305Q106,,D AND Z MEDIA ACQUISITION CO,342211,-52953,3.35M,-518.37K,-13.4%,0.51%
12521J103,,CF ACQUISITION CORP VI,0,-50000,0,-542K,CLOSE,0%
G8253U103,,SOCIAL CAP SUVRETTA HLDS CRP,344335,-55665,3.36M,-542.69K,-13.9%,0.51%
482504107,,KHOSLA VENTURES ACQUISITION,326549,-65182,3.19M,-637.55K,-16.6%,0.49%
G0371B109,,ALTIMETER GROWTH CORP 2,646207,-70127,6.35M,-688.67K,-9.8%,0.96%
G4940J114,,ION ACQUISITION CORP 3 LTD,1259003,-71356,12.28M,-696.1K,-5.4%,1.9%
81723H108,,SENIOR CONNECT ACQUISITN COR,0,-71808,0,-699K,CLOSE,0%
204833107,,COMPUTE HEALTH ACQUISITIN CO,69382,-73778,679K,-722.02K,-51.5%,0.1%
G5346G125,,L CATTERTON ASIA ACQUISITION,0,-75000,0,-729K,CLOSE,0%
G0477L100,,ARCTOS NORTHSTAR ACQUIS CORP,0,-75000,0,-731K,CLOSE,0%
G19276107,GLBL,CARTESIAN GROWTH CORP,0,-75000,0,-741K,CLOSE,0%
00775W102,,AEQUI ACQUISITION CORP,22152,-76302,218K,-750.9K,-77.5%,0.03%
72703X106,PL,PLANET LABS PBC,655951,-147934,3.33M,-751.45K,-18.4%,0.51%
G6715X103,,OAKTREE ACQUISITION CORP II,388917,-75542,3.87M,-751.7K,-16.3%,0.59%
G0633D109,,AUSTERLITZ ACQUISITION CORP,45916,-77177,451K,-758.05K,-62.7%,0.07%
G8601M100,,SVF INVESTMENT CORP 2,630942,-77931,6.21M,-766.78K,-11%,0.94%
92259E104,VELO,VELOCITY ACQUISITION CORP,0,-80000,0,-778K,CLOSE,0%
G8601L102,,SVF INVESTMENT CORP,252437,-80234,2.47M,-786.33K,-24.1%,0.38%
G37283101,,FTAC ATHENA ACQUISITION CORP,0,-80000,0,-794K,CLOSE,0%
31809Y103,,FINSERV ACQUISITION CORP II,18374,-81626,180K,-799.65K,-81.6%,0.03%
G91595101,,TZP STRATEGIES ACQUISTN CORP,195191,-84751,1.91M,-830.62K,-30.3%,0.29%
G8601N108,,SVF INVESTMENT CORP 3,782949,-85451,7.76M,-846.82K,-9.8%,1.2%
G54035103,,LAZARD GROWTH ACQUISITION CO,210815,-86533,2.07M,-848.03K,-29.1%,0.31%
364681106,,GAMING & HOSPITALITY ACQU CO,139358,-87115,1.36M,-852.66K,-38.5%,0.21%
G6780C109,,ORION BIOTECH OPPORTUNTES CO,503834,-96166,4.91M,-936.59K,-16%,0.75%
05601A109,SLNAF,BOA ACQUISITION CORP,0,-96541,0,-949K,CLOSE,0%
G3141W106,,EUCRATES BIOMEDICAL ACQU COR,0,-100000,0,-976K,CLOSE,0%
G1962Y102,,CATCHA INVESTMENT CORP,0,-100000,0,-977K,CLOSE,0%
92873V102,,VOLTA INC,25000,-325000,76K,-988K,-92.9%,0.01%
739190114,,POWER & DIGITAL INFRA ACQ CO,0,-300000,0,-993K,CLOSE,0%
G7282L100,,PROVIDENT ACQUISITION CORP,40000,-103510,394K,-1.02M,-72.1%,0.06%
302438106,,FIGURE ACQUISITION CORP I,110027,-104973,1.08M,-1.03M,-48.8%,0.16%
G6293A103,,MOTIVE CAPITAL CORP,0,-111813,0,-1.1M,CLOSE,0%
85571BAH8,,STARWOOD PPTY TR INC,0,-1051000,0,-1.11M,CLOSE,0%
