"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001020066","Sands Capital Management","Frank Sands","Sands Capital Management, LLC","","https://www.sandscapital.com/"
"0001537530","SCGE","Jeffrey Wang","SCGE Management, L.P.","","https://www.sequoiacap.com/scge/"
"0002011556","Scientech","Le Duan","Scientech Research LLC","","https://www.scientechresearch.io/"
"0001565432","Selkirk","Stewart Strawbridge","Selkirk Management LLC","","https://selkirkpartners.com/"
"0001443689","Senator Investment Group","Alex Klabin","Senator Investment Group LP","","https://clients.senatorlp.com/"
"0001659380","Sender Company & Partners","Adam Sender","Sender Co & Partners, Inc.","","https://www.sendercompany.com/"
"0001622346","Shanda","Tianqiao Chen","Shanda Asset Management Holdings Ltd","","https://www.shanda.com/"
"0001301050","Shannon River","Spencer Waxman","Shannon River Partners LP","","http://www.shannonpartners.com/"
"0001591744","Shellback Capital","Jon Hilsabeck","Shellback Capital, LP","","http://www.shellback.com/"
"0001738728","Silvant Capital","Marc Schneidau","Silvant Capital Management LLC","","https://www.silvantcapital.com/"
"0001104883","Sirios Capital Management","John Brennan","Sirios Capital Management LP","","https://www.sirioslp.com/"
"0001680964","SoMa Equity Partners","Gil Simon","SoMa Equity Partners LP","","https://www.somaequity.com/"
"0001967706","Sparta 24","Alon Gonen","Sparta 24 Ltd.","",""
"0001512920","Sprott","John Ciampaglia","Sprott Inc.","","https://www.sprott.com/"
"0001642575","Squarepoint","Maxime Fortin","Squarepoint Ops LLC","","https://www.squarepoint-capital.com/"
"0000093751","State Street","Ronald P. O'Hanley","State Street Corporation","","https://statestreet.com/"
"0002019841","Stone Ridge Asset Management","Ross Stevens","Stone Ridge Holdings Group LP","","https://www.stoneridgeam.com/"
"0001592413","Strategy Capital","Hamilton Helmer & John Rutherford","Strategy Capital LLC","","https://strategycapital.com/"
"0001904897","Styrax Capital","Soly Vahabzadeh","Styrax Capital, LP","","https://www.linkedin.com/company/styrax-capital-lp"
"0002077718","Sullivan Wood","James Arnold Sullivan","Sullivan Wood Capital Management","","https://www.sullivanwood.com/"
"0001475365","Sumitomo Mitsui Trust Group","Toru Takakura","Sumitomo Mitsui Trust Group, Inc.","","https://www.smtg.jp/english/"
"0001280043","Summitry","Colin Higgins","Summitry LLC","","https://summitry.com/"
"0001389234","Symmetry Peak","Quint Slattery","Symmetry Peak Management LLC","","https://symmetrypeak.com/"
"0001905669","Synergy Financial Group","Palash Islam","Synergy Financial Group, LTD","","https://www.synergyfg.com/"
"0001574886","Teewinot Capital Advisers","Michael Moriarty","Teewinot Capital Advisers, L.L.C.","","https://teewinotfunds.com/"
"0001755784","TenCore","Girish Bhakoo","TenCore Partners, LP","","https://www.tencorepartners.com/"
"0001077428","Texas Capital Bancshares","Rob Holmes","Texas Capital Bancshares Inc/TX","","https://texascapitalbank.com/"
"0001714267","Thames Capital Management","Jay Genzer","Thames Capital Management LLC","","https://thamescapitalmanagement.com/"
"0001599383","The Windacre Partnership","Snehal Amin","The Windacre Partnership LLC","","http://www.windacre.com/"
"0001600064","Tidal Financial Group","Gavin Filmore","Tidal Investments LLC","","https://tidalfinancialgroup.com/"
"0001847582","TMT General Partner","Qin Liu","TMT General Partner Ltd.","","https://www.5ycap.com/"
"0001666786","Traynor Capital Management","Keith Traynor","Traynor Capital Management, Inc.","","https://traynorcapitalmanagement.com/"
"0001535096","Tree Line Advisors","Zaheer Abbas Sitabkhan","Tree Line Advisors (Hong Kong) Ltd.","","https://www.treelineim.com/"
"0001353312","Tremblant Capital","Brett Barakett","Tremblant Capital Group","","https://www.tremblantcapital.com/"
"0001901929","Trevian Wealth Management","Phil Swisher","Trevian Wealth Management LLC","","https://www.trevianwealth.com/"
"0001633445","Trexquant","Tyger Park","Trexquant Investment LP","","https://trexquant.com/"
"0002014039","Triata Capital","Sean Ho","Triata Capital Ltd","","https://www.triatacapital.com/"
"0002079812","Tripletail Wealth","Erik Bonnett","Tripletail Wealth Management, LLC","","https://www.tripletailwealth.com/"
"0001452689","Valiant Capital","Chris Hansen","Valiant Capital Management, L.P.","","https://www.valiantcapital.com/"
"0001697868","Valley Forge Capital Management","Dev Kantesaria","Valley Forge Capital Management, LP","","https://www.valleyforgecapital.com/"
"0001838211","Venator Capital Management","Brandon Osten","Venator Capital Management Ltd.","","https://venator.ca/"
"0001744347","Vident Advisory","Vince Birley","Vident Advisory, LLC","","https://videntam.com/"
"0001005354","Virginia Retirement Systems","Trish Bishop","Virginia Retirement Systems Et Al","","https://www.varetire.org/"
"0001068837","Voya Investment Management","Matthew Toms","Voya Investment Management LLC","","https://investments.voya.com/"
"0001954551","Warther Private Wealth","Robert Warther","Warther Private Wealth, LLC","","http://www.wartherprivatewealth.com/"
"0001968434","Wealth Preservation","Gene Rice","Wealth Preservation Advisors, LLC","","https://www.wpafinancial.com/"
"0000859804","Wedgewood Partners","David Rolfe","Wedgewood Partners Inc","","https://wedgewoodpartners.com/"
"0001738723","West Branch","Ayaz Mahmud","West Branch Capital LLC","","https://www.westbranchcapital.com/"
"0001607278","Whetstone Capital","David Atterbury","Whetstone Capital Advisors, LLC","","https://whetstone-capital.com/"
"0002042565","WIM Investment Management","Guy McGlashan","WIM Investment Management Ltd","","https://www.w1m.com/"
"0001843294","WMP","Michael Ward","Wealth Management Partners, LLC","","https://wmp.nl/"
"0001756558","XN","Gaurav Kapadia","XN LP","","https://www.xnlp.com/"
"0001767686","Yarbrough Capital","Jon Yarbrough","Yarbrough Capital, LLC","","https://www.yarbroughcap.com/"
"0001584801","YCG Investments","Brian Yacktman","YCG, LLC","","https://ycginvestments.com/"
"0001858789","Yousif Capital Management","Kevin Yousif","Yousif Capital Management, LLC","","https://www.yousifcapital.com/"
"0002065849","Yukon Wealth Management","John Hanahan","Yukon Wealth Management, Inc.","","https://www.yukoncm.com/"
"0001276918","Zevenbergen Capital Investments","Nancy Zevenbergen","Zevenbergen Capital Investments LLC","","https://www.zci.com/"
"0001423296","Zuckerman Investment Group","Sherwin Zuckerman","Zuckerman Investment Group, LLC","","https://zuckermaninvestmentgroup.com/"
