CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01609W102,BABA,ALIBABA GROUP HLDG LTD,155000,155000,13.14M,13.14M,NEW,5.8%
067901108,B,BARRICK GOLD CORP,930000,770000,14.41M,11.94M,+481.2%,6.4%
25179M103,DVN,DEVON ENERGY CORP NEW,200000,200000,6.55M,6.55M,NEW,2.9%
92556H206,PSKY,PARAMOUNT GLOBAL,975000,570000,10.2M,5.96M,+140.7%,4.5%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,550000,550000,5.17M,5.17M,NEW,2.3%
056752108,BIDU,BAIDU INC,181371,59401,15.29M,5.01M,+48.7%,6.8%
92556V106,VTRS,VIATRIS INC,3012568,397471,37.51M,4.95M,+15.2%,16.7%
G1890L107,CPRI,CAPRI HOLDINGS LIMITED,200000,178966,4.21M,3.77M,+850.8%,1.9%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,675000,310000,6.3M,2.89M,+84.9%,2.8%
703481101,PTEN,PATTERSON-UTI ENERGY INC,900000,300000,7.43M,2.48M,+50%,3.3%
N90064101,QURE,UNIQURE NV,136708,136708,2.41M,2.41M,NEW,1.1%
553368101,MP,MP MATERIALS CORP,150000,150000,2.34M,2.34M,NEW,1%
00768Y453,MSOS,ADVISORSHARES TR,800000,557288,3.05M,2.12M,+229.6%,1.4%
55903Q104,MAG,MAG SILVER CORP,231122,148922,3.14M,2.02M,+181.2%,1.4%
746964105,QTTB,Q32 BIO INC,574816,574816,1.98M,1.98M,NEW,0.88%
302491303,FMC,FMC CORP,40000,40000,1.94M,1.94M,NEW,0.87%
670002401,NVAX,NOVAVAX INC,285000,222500,2.29M,1.79M,+356%,1%
80810D103,SDGR,SCHRODINGER INC,80000,80000,1.54M,1.54M,NEW,0.69%
G85158106,STNE,STONECO LTD,175000,175000,1.39M,1.39M,NEW,0.62%
38341P102,GOSS,GOSSAMER BIO INC,5371641,1520721,4.86M,1.38M,+39.5%,2.2%
28106W103,EDIT,EDITAS MEDICINE INC,1069732,1069732,1.36M,1.36M,NEW,0.6%
56600D107,MRVI,MARAVAI LIFESCIENCES HLDGS I,291364,216364,1.59M,1.18M,+288.5%,0.71%
977852102,WOLF,WOLFSPEED INC,150000,150000,999K,999K,NEW,0.44%
F21107101,CSTM,CONSTELLIUM SE,96495,96495,991K,991K,NEW,0.44%
75971T301,SOL,EMEREN GROUP LTD,1847764,486063,3.75M,986.71K,+35.7%,1.7%
393222104,GPRE,GREEN PLAINS INC,102278,102278,969.6K,969.6K,NEW,0.43%
921659108,VNDA,VANDA PHARMACEUTICALS INC,392262,188836,1.88M,904.52K,+92.8%,0.84%
059460303,BBD,BANCO BRADESCO S A,450000,450000,859.5K,859.5K,NEW,0.38%
G65431127,NE,NOBLE CORP PLC,25000,25000,785K,785K,NEW,0.35%
39986L109,GRWG,GROWGENERATION CORP,463046,463046,782.55K,782.55K,NEW,0.35%
912909108,X,UNITED STATES STL CORP NEW,23000,23000,781.77K,781.77K,NEW,0.35%
G97822103,PRGO,PERRIGO CO PLC,179095,30000,4.6M,771.3K,+20.1%,2%
52187K200,CYPH,LEAP THERAPEUTICS INC,205874,205874,591.89K,591.89K,NEW,0.26%
92332V107,VTYX,VENTYX BIOSCIENCES INC,240000,240000,525.6K,525.6K,NEW,0.23%
04335A105,ARVN,ARVINAS INC,25000,25000,479.25K,479.25K,NEW,0.21%
G2283U100,PEW,COLOMBIER ACQUISITION CORP I,40000,40000,470K,470K,NEW,0.21%
G76279101,ROIV,ROIVANT SCIENCES LTD,135000,35000,1.6M,414.05K,+35%,0.71%
45780L104,INGN,INOGEN INC,76500,39000,701.5K,357.63K,+104%,0.31%
31189P102,FATE,FATE THERAPEUTICS INC,327671,190000,540.66K,313.5K,+138%,0.24%
502160104,LXU,LSB INDS INC,32100,32100,243.64K,243.64K,NEW,0.11%
68062P106,OLMA,OLEMA PHARMACEUTICALS INC,25000,25000,145.75K,145.75K,NEW,0.06%
37611X209,DNA,GINKGO BIOWORKS HOLDINGS INC,384664,14539,3.78M,142.77K,+3.9%,1.7%
34984V209,FET,FORUM ENERGY TECHNOLOGIES IN,75118,6709,1.16M,103.92K,+9.8%,0.52%
640268108,NKTR,NEKTAR THERAPEUTICS,2032868,35648,1.89M,33.15K,+1.8%,0.84%
87266J104,TPICQ,TPI COMPOSITES INC,59900,5000,113.21K,9.45K,+9.1%,0.05%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,230000,0,2.22M,0,NO CHANGE,0.99%
76655K103,RGTI,RIGETTI COMPUTING INC,0,-10000,0,-7.83K,CLOSE,0%
589492107,MREO,MEREO BIOPHARMA GROUP PLC,381468,-3067,1.34M,-10.73K,-0.8%,0.59%
N71542109,PRQR,PROQR THRAPEUTICS N V,296618,-31274,786.04K,-82.88K,-9.5%,0.35%
219798105,QDEL,QUIDELORTHO CORP,65000,-2325,2.9M,-103.58K,-3.5%,1.3%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,135561,-15000,1.09M,-121.05K,-10%,0.49%
92243A200,VXRT,VAXART INC,0,-164334,0,-139.52K,CLOSE,0%
36315X101,LKFT,GALAPAGOS NV,15000,-5999,412.5K,-164.97K,-28.6%,0.18%
697900108,PAAS,PAN AMERN SILVER CORP,275000,-10000,5.56M,-202.2K,-3.5%,2.5%
644535106,NGD,NEW GOLD INC CDA,300000,-115000,744K,-285.2K,-27.7%,0.33%
00751Y106,AAP,ADVANCE AUTO PARTS INC,0,-10000,0,-389.9K,CLOSE,0%
G2891G204,DEC,DIVERSIFIED ENERGY COMPANY P,0,-35000,0,-398.3K,CLOSE,0%
91822M502,VEON,VEON LTD,9900,-13362,396.99K,-535.82K,-57.4%,0.18%
98423J101,XPER,XPERI INC,45000,-58660,462.15K,-602.44K,-56.6%,0.21%
427746102,HRTX,HERON THERAPEUTICS INC,1212743,-465674,1.86M,-712.48K,-27.7%,0.83%
11777Q209,BTG,B2GOLD CORP,1300000,-300000,3.17M,-732K,-18.8%,1.4%
518439104,EL,LAUDER ESTEE COS INC,0,-12500,0,-1.25M,CLOSE,0%
G6359F137,NBR,NABORS INDUSTRIES LTD,0,-19500,0,-1.26M,CLOSE,0%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-105000,0,-1.56M,CLOSE,0%
G50871105,JAZZ,JAZZ PHARMACEUTICALS PLC,10000,-15000,1.23M,-1.85M,-60%,0.55%
032108649,SILJ,AMPLIFY ETF TR,379544,-239456,3.77M,-2.38M,-38.7%,1.7%
78468R556,XOP,SPDR SER TR,0,-20000,0,-2.63M,CLOSE,0%
013872106,AA,ALCOA CORP,40000,-75000,1.51M,-2.83M,-65.2%,0.67%
61945C103,MOS,MOSAIC CO NEW,65000,-125000,1.6M,-3.07M,-65.8%,0.71%
496902404,KGC,KINROSS GOLD CORP,59580,-340420,552.31K,-3.16M,-85.1%,0.25%
011532108,AGI,ALAMOS GOLD INC NEW,0,-185000,0,-3.69M,CLOSE,0%
82575P107,SBSW,SIBANYE STILLWATER LTD,0,-900000,0,-3.7M,CLOSE,0%
98985Y108,ZYME,ZYMEWORKS INC,15000,-285000,219.6K,-4.17M,-95%,0.1%
87918A105,TDOC,TELADOC HEALTH INC,410000,-460791,3.73M,-4.19M,-52.9%,1.7%
891160509,TD,TORONTO DOMINION BK ONT,0,-70000,0,-4.43M,CLOSE,0%
16934W106,CMRX,CHIMERIX INC,2820792,-1400782,9.82M,-4.87M,-33.2%,4.4%
674599105,OXY,OCCIDENTAL PETE CORP,0,-132500,0,-6.83M,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,47500,-82500,4.05M,-7.04M,-63.5%,1.8%
98980L101,ZM,ZOOM COMMUNICATIONS INC,7500,-163169,612.08K,-13.32M,-95.6%,0.27%
651639106,NEM,NEWMONT CORP,0,-344479,0,-18.41M,CLOSE,0%
92189F791,GDXJ,VANECK ETF TRUST,0,-421368,0,-20.57M,CLOSE,0%
Total,,,,,224.78M,-19.71M,-8.3%,100%
