CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
48553T106,BZ,KANZHUN LIMITED,1199602,1141102,31.53M,29.99M,+1950.6%,12.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,391500,259600,17.04M,11.3M,+196.8%,6.7%
64110L106,NFLX,NETFLIX INC,39100,39100,6.84M,6.84M,NEW,2.7%
81141R100,SE,SEA LTD,84100,84100,5.62M,5.62M,NEW,2.2%
00507V109,ATVI,ACTIVISION BLIZZARD INC,67400,67400,5.25M,5.25M,NEW,2.1%
958102105,WDC,WESTERN DIGITAL CORP.,105800,105800,4.74M,4.74M,NEW,1.9%
464287515,IGV,ISHARES TR,7200,7200,1.94M,1.94M,NEW,0.76%
00851L103,API,AGORA INC,649980,37180,4.27M,244.25K,+6.1%,1.7%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,64500,-21400,5.27M,-1.75M,-24.9%,2.1%
67066G104,NVDA,NVIDIA CORPORATION,0,-10300,0,-2.81M,CLOSE,0%
482497104,BEKE,KE HLDGS INC,182500,-173500,3.28M,-3.11M,-48.7%,1.3%
64110W102,NTES,NETEASE INC,0,-40700,0,-3.65M,CLOSE,0%
47215P106,JD,JD.COM INC,147500,-78400,9.47M,-5.03M,-34.7%,3.7%
05278C107,ATHM,AUTOHOME INC,117390,-165610,4.62M,-6.51M,-58.5%,1.8%
722304102,PDD,PINDUODUO INC,0,-165400,0,-6.63M,CLOSE,0%
874080104,TAL,TAL EDUCATION GROUP,14581441,-1690560,71.01M,-8.23M,-10.4%,27.8%
032654105,ADI,ANALOG DEVICES INC,0,-56900,0,-9.4M,CLOSE,0%
682189105,ON,ON SEMICONDUCTOR CORP,1153200,-213400,58.02M,-10.74M,-15.6%,22.7%
36118L106,FUTU,FUTU HLDGS LTD,0,-851400,0,-27.72M,CLOSE,0%
52490G102,LEGN,LEGEND BIOTECH CORP,475263,-522451,26.14M,-28.73M,-52.4%,10.2%
Total,,,,,255.04M,-48.41M,-17.7%,100%
