CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
833445109,SNOW,SNOWFLAKE INC,165250,80250,22.98M,11.16M,+94.4%,22.2%
18915M107,NET,CLOUDFLARE INC,497500,207500,21.77M,9.08M,+71.6%,21%
26603R106,DUOL,DUOLINGO INC,76000,76000,6.65M,6.65M,NEW,6.4%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,315500,100500,14.32M,4.56M,+46.7%,13.8%
03783C100,APPF,APPFOLIO INC,367576,22650,33.32M,2.05M,+6.6%,32.1%
74967X103,RH,RH,22000,-44740,4.67M,-9.5M,-67%,4.5%
Total,,,,,103.71M,24.01M,+18.8%,100%
