CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29355A107,ENPH,ENPHASE ENERGY INC,0,-1863,0,-375.92K,CLOSE,0%
09173B107,KEEL,BITFARMS LTD,787323,-368752,881.8K,-413K,-31.9%,0.13%
47215P106,JD,JD.COM INC,0,-7547,0,-436.75K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,5240,-9956,289.67K,-550.37K,-65.5%,0.04%
39531G100,,GREENIDGE GENERATION HLDGS I,45177,-206085,123.78K,-564.67K,-82%,0.02%
64081V109,NRDY,NERDY INC,0,-116161,0,-591.26K,CLOSE,0%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,7256,-2174,1.99M,-594.98K,-23.1%,0.29%
90364P105,PATH,UIPATH INC,0,-28470,0,-614.67K,CLOSE,0%
12047B105,BMBL,BUMBLE INC,0,-21659,0,-627.68K,CLOSE,0%
18452B209,CLSK,CLEANSPARK INC,0,-53115,0,-657.03K,CLOSE,0%
254687106,DIS,DISNEY WALT CO,0,-5031,0,-690.05K,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-658,0,-709.06K,CLOSE,0%
268150109,DT,DYNATRACE INC,0,-15532,0,-731.56K,CLOSE,0%
N14506104,ESTC,ELASTIC N V,0,-8759,0,-779.11K,CLOSE,0%
91854V107,,VACASA INC,0,-95895,0,-793.05K,CLOSE,0%
G1144A105,BTBT,BIT DIGITAL INC,0,-224699,0,-808.92K,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,11990,-12055,980.18K,-985.5K,-50.1%,0.14%
007903107,AMD,ADVANCED MICRO DEVICES INC,1614,-13331,123.42K,-1.02M,-89.2%,0.02%
770700102,HOOD,ROBINHOOD MKTS INC,25241,-148885,207.48K,-1.22M,-85.5%,0.03%
30212P303,EXPE,EXPEDIA GROUP INC,0,-6882,0,-1.35M,CLOSE,0%
75513E101,RTX,RAYTHEON TECHNOLOGIES COR,0,-14500,0,-1.44M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,7894,-9587,1.2M,-1.45M,-54.8%,0.18%
67623L109,OPAD,OFFERPAD SOLUTIONS INC,407008,-728142,887.28K,-1.59M,-64.1%,0.13%
69553P100,PD,PAGERDUTY INC,0,-51012,0,-1.74M,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,0,-15557,0,-2.05M,CLOSE,0%
G8T10C122,,TIO TECH A,0,-237579,0,-2.34M,CLOSE,0%
29975E109,EB,EVENTBRITE INC,0,-190036,0,-2.81M,CLOSE,0%
22266M104,COUR,COURSERA INC,0,-138041,0,-3.18M,CLOSE,0%
98980G102,ZS,ZSCALER INC,0,-13299,0,-3.21M,CLOSE,0%
896945201,TRIP,TRIPADVISOR INC,0,-129383,0,-3.51M,CLOSE,0%
36118L106,FUTU,FUTU HLDGS LTD,45715,-75050,2.39M,-3.92M,-62.1%,0.35%
09857L108,BKNG,BOOKING HOLDINGS INC,0,-1680,0,-3.95M,CLOSE,0%
163092109,CHGG,CHEGG INC,0,-109349,0,-3.97M,CLOSE,0%
922280102,VRNS,VARONIS SYS INC,0,-83923,0,-3.99M,CLOSE,0%
88025T102,TENB,TENABLE HLDGS INC,0,-70966,0,-4.1M,CLOSE,0%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,0,-78349,0,-5.16M,CLOSE,0%
50202M102,LI,LI AUTO INC,48242,-161424,1.85M,-6.18M,-77%,0.27%
26603R106,DUOL,DUOLINGO INC,573330,-78243,50.2M,-6.85M,-12%,7.4%
91531W106,TIGR,UP FINTECH HLDG LTD,1866054,-1482239,8.79M,-6.98M,-44.3%,1.3%
22788C105,CRWD,CROWDSTRIKE HOLDINGS INC,3113,-41440,524.73K,-6.99M,-93%,0.08%
82509L107,SHOP,SHOPIFY INC,0,-11380,0,-7.69M,CLOSE,0%
31810T101,FINV,FINVOLUTION GROUP,13831401,-1720434,65.7M,-8.17M,-11.1%,9.7%
833445109,SNOW,SNOWFLAKE INC,5828,-61317,810.44K,-8.53M,-91.3%,0.12%
19260Q107,COIN,COINBASE GLOBAL INC,128689,-198412,6.05M,-9.33M,-60.7%,0.89%
722304102,PDD,PINDUODUO INC,0,-250498,0,-10.05M,CLOSE,0%
04342Y104,ASAN,ASANA INC,35595,-587837,625.76K,-10.33M,-94.3%,0.09%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,1207237,-446393,31M,-11.46M,-27%,4.6%
683712103,OPEN,OPENDOOR TECHNOLOGIES INC,14297925,-2752151,67.34M,-12.96M,-16.1%,9.9%
009066101,ABNB,AIRBNB INC,24801,-150045,2.21M,-13.37M,-85.8%,0.32%
78486Q101,SVBT,SVB FINANCIAL GROUP,19444,-36635,7.68M,-14.47M,-65.3%,1.1%
88557W101,QFIN,360 DIGITECH INC,4523058,-1411361,78.25M,-24.42M,-23.8%,11.5%
91680M107,UPST,UPSTART HLDGS INC,32639,-1146271,1.03M,-36.25M,-97.2%,0.15%
Total,,,,,680.69M,7.63M,+0.8%,100%
