CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
58985J105,MLNK,MERIDIANLINK INC,893519,893519,14.55M,14.55M,NEW,14.6%
35909D109,FYBR,FRONTIER COMMUNICATIONS PARENT,437509,437509,10.25M,10.25M,NEW,10.3%
698884103,PAR,PAR TECHNOLOGY CORP,321357,135120,9.49M,3.99M,+72.6%,9.5%
03831W108,APP,APPLOVIN CORP,574152,120567,11.19M,2.35M,+26.6%,11.2%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,223043,27337,11.04M,1.35M,+14%,11.1%
03783C100,APPF,APPFOLIO INC,115678,12710,12.11M,1.33M,+12.3%,12.2%
00508Y102,AYI,ACUITY BRANDS INC,91490,7290,14.41M,1.15M,+8.7%,14.5%
09239B109,BL,BLACKLINE INC,163220,14600,9.78M,874.55K,+9.8%,9.8%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,5625,0,1.71M,0,NO CHANGE,1.7%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,81089,-22759,4.99M,-1.4M,-21.9%,5%
17453B101,,FRONTIER COMMUNICATIONS PARENT,0,-342209,0,-8.06M,CLOSE,0%
62541M107,,MERIDIANLINK COMMON STOCK,0,-724281,0,-12.1M,CLOSE,0%
Total,,,,,99.51M,14.29M,+15.2%,100%
