CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,3585,0,254K,0,NO CHANGE,0.16%
464288752,ITB,ISHARES TR,4613,0,240K,0,NO CHANGE,0.15%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1040,0,235K,0,NO CHANGE,0.15%
666807102,NOC,NORTHROP GRUMMAN CORP,497,0,233K,0,NO CHANGE,0.15%
33738R506,RDVY,FIRST TR EXCHANGE-TRADED FD,5985,0,232K,0,NO CHANGE,0.14%
452308109,ITW,ILLINOIS TOOL WKS INC,1252,0,226K,0,NO CHANGE,0.14%
260557103,DOW,DOW INC,5022,0,220K,0,NO CHANGE,0.14%
27828N102,ETY,EATON VANCE TAX-MANAGED DIVE,20000,0,217K,0,NO CHANGE,0.14%
33740U505,FDEC,FIRST TR EXCHNG TRADED FD VI,7317,0,216K,0,NO CHANGE,0.13%
515098101,LSTR,LANDSTAR SYS INC,1455,0,210K,0,NO CHANGE,0.13%
060505682,BACPRL,BK OF AMERICA CORP,176,0,206K,0,NO CHANGE,0.13%
550241103,LUMN,LUMEN TECHNOLOGIES INC,20000,0,145K,0,NO CHANGE,0.09%
62459M107,MOVE,MOVANO INC,41698,0,114K,0,NO CHANGE,0.07%
64049M209,NEO,NEOGENOMICS INC,12876,0,110K,0,NO CHANGE,0.07%
69526K105,PTVE,PACTIV EVERGREEN INC,10000,0,87K,0,NO CHANGE,0.05%
95766K109,HIO,WESTERN ASSET HIGH INCOME OP,17439,0,64K,0,NO CHANGE,0.04%
87241J104,,TFF PHARMACEUTICALS INC,11082,0,44K,0,NO CHANGE,0.03%
03837J101,AQMS,AQUA METALS INC,40599,0,30K,0,NO CHANGE,0.02%
29772L108,ETON,ETON PHARMACEUTICALS INC,11500,0,24K,0,NO CHANGE,0.01%
023111206,AMRN,AMARIN CORP PLC,17380,0,18K,0,NO CHANGE,0.01%
928251107,VRPX,VIRPAX PHARMACEUTICALS INC,10000,0,11K,0,NO CHANGE,<.01%
30069C801,EXN.V,EXCELLON RES INC,10000,0,3K,0,NO CHANGE,<.01%
36117T100,FURY,FURY GOLD MINES LIMITED,10000,0,3K,0,NO CHANGE,<.01%
773903109,ROK,ROCKWELL AUTOMATION INC,3079,-4,662K,-860.02,-0.1%,0.41%
426281101,JKHY,HENRY JACK &ASSOC INC,1650,-6,300K,-1.09K,-0.4%,0.19%
384109104,GGG,GRACO INC,9026,-20,541K,-1.2K,-0.2%,0.34%
030420103,AWK,AMERICAN WTR WKS CO INC NEW,4934,-10,642K,-1.3K,-0.2%,0.4%
29273V100,ET,ENERGY TRANSFER L P,65739,-222,725K,-2.45K,-0.3%,0.45%
29084Q100,EME,EMCOR GROUP INC,5679,-34,655K,-3.92K,-0.6%,0.41%
88339P101,REAL,THE REALREAL INC,60020,-4205,90K,-6.31K,-6.5%,0.06%
72201Y101,PDI,PIMCO DYNAMIC INCOME FD,27207,-330,527K,-6.39K,-1.2%,0.33%
942749102,WTS,WATTS WATER TECHNOLOGIES INC,2621,-51,329K,-6.4K,-1.9%,0.21%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4248,-39,700K,-6.43K,-0.9%,0.44%
14448C104,CARR,CARRIER GLOBAL CORPORATION,15904,-183,565K,-6.5K,-1.1%,0.35%
002824100,ABT,ABBOTT LABS,3521,-79,340K,-7.63K,-2.2%,0.21%
88322Q108,TGTX,TG THERAPEUTICS INC,45157,-1360,267K,-8.04K,-2.9%,0.17%
G5960L103,MDT,MEDTRONIC PLC,4172,-100,336K,-8.05K,-2.3%,0.21%
750102105,RXT,RACKSPACE TECHNOLOGY INC,20611,-2078,84K,-8.47K,-9.2%,0.05%
863667101,SYK,STRYKER CORPORATION,1545,-49,312K,-9.9K,-3.1%,0.19%
57636Q104,MA,MASTERCARD INCORPORATED,5351,-36,1.52M,-10.23K,-0.7%,0.95%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,6905,-100,752K,-10.89K,-1.4%,0.47%
70450Y103,PYPL,PAYPAL HLDGS INC,6467,-131,556K,-11.26K,-2%,0.35%
437076102,HD,HOME DEPOT INC,9397,-42,2.59M,-11.59K,-0.4%,1.6%
74006W108,PRAX,PRAXIS PRECISION MEDICINES I,15117,-5267,34K,-11.85K,-25.8%,0.02%
005098108,GOLF,ACUSHNET HLDGS CORP,12928,-276,562K,-12K,-2.1%,0.35%
562750109,MANH,MANHATTAN ASSOCIATES INC,4408,-95,586K,-12.63K,-2.1%,0.37%
45253H101,,IMMUNOGEN INC,60787,-2664,290K,-12.71K,-4.2%,0.18%
46185L103,,INVITAE CORP,29145,-5658,71K,-13.78K,-16.3%,0.04%
72201R833,MINT,PIMCO ETF TR,23200,-140,2.29M,-13.84K,-0.6%,1.4%
92826C839,V,VISA INC,3821,-85,678K,-15.08K,-2.2%,0.42%
23804L103,DDOG,DATADOG INC,7427,-200,659K,-17.75K,-2.6%,0.41%
550021109,LULU,LULULEMON ATHLETICA INC,5671,-64,1.58M,-17.89K,-1.1%,0.99%
500754106,KHC,KRAFT HEINZ CO,8581,-542,286K,-18.06K,-5.9%,0.18%
65339F101,NEE,NEXTERA ENERGY INC,14081,-238,1.1M,-18.66K,-1.7%,0.69%
G8251L105,,SOCIAL CAPITAL HEDOSOPHA HLD,27750,-2000,277K,-19.96K,-6.7%,0.17%
32051X108,FHB,FIRST HAWAIIAN INC,18449,-1000,454K,-24.61K,-5.1%,0.28%
11135F101,AVGO,BROADCOM INC,4104,-56,1.82M,-24.86K,-1.3%,1.1%
90384S303,ULTA,ULTA BEAUTY INC,3176,-62,1.27M,-24.87K,-1.9%,0.8%
30063P105,EXAS,EXACT SCIENCES CORP,59576,-825,1.94M,-26.8K,-1.4%,1.2%
60255C109,,MIND MEDICINE MINDMED INC,0,-45040,0,-28K,CLOSE,0%
33739E108,FPE,FIRST TR EXCH TRADED FD III,95250,-2000,1.59M,-33.39K,-2.1%,0.99%
75901B107,RGNX,REGENXBIO INC,14173,-1500,374K,-39.58K,-9.6%,0.23%
852234103,XYZ,BLOCK INC,4113,-731,226K,-40.17K,-15.1%,0.14%
03027X100,AMT,AMERICAN TOWER CORP NEW,1989,-206,427K,-44.22K,-9.4%,0.27%
882508104,TXN,TEXAS INSTRS INC,4008,-331,620K,-51.2K,-7.6%,0.39%
749607107,RLI,RLI CORP,2742,-531,280K,-54.22K,-16.2%,0.17%
22822V101,CCI,CROWN CASTLE INC,5829,-416,842K,-60.09K,-6.7%,0.53%
00938A104,AIRG,AIRGAIN INC,11502,-9048,82K,-64.5K,-44%,0.05%
89531P105,TREX,TREX CO INC,6738,-1586,296K,-69.67K,-19.1%,0.18%
Y0436Q109,,ATLAS CORP,120291,-5234,1.67M,-72.75K,-4.2%,1%
81762P102,NOW,SERVICENOW INC,4063,-200,1.53M,-75.51K,-4.7%,0.96%
