CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
284902509,EGO,ELDORADO GOLD CORP NEW,11180130,11180130,347.59M,347.59M,NEW,10.4%
00370M103,ABVX,ABIVAX SA,2787131,1773807,371.41M,236.38M,+175%,11.1%
G8588X103,SGHC,SUPER GROUP SGHC LIMITED,17263516,7838814,233.92M,106.22M,+83.2%,7%
44891N208,PPLI,PEOPLE INC,5652519,2134105,260.92M,98.51M,+60.7%,7.8%
N72482156,QGEN,QIAGEN NV,3085155,1277166,120.63M,49.94M,+70.6%,3.6%
64782A107,NEWP,NEW PAC METALS CORP,18438377,8502194,74.12M,34.18M,+85.6%,2.2%
83419D201,SLSR,SOLARIS RES INC,18955119,3409274,158.84M,28.57M,+21.9%,4.7%
008474108,AEM,AGNICO EAGLE MINES LTD,146103,146103,22.66M,22.66M,NEW,0.68%
82835P103,SVM,SILVERCORP METALS INC,17437340,1321926,176.12M,13.35M,+8.2%,5.3%
43087N204,HSLV,HIGHLANDER SILVER CORP,8009594,2837772,37.32M,13.22M,+54.9%,1.1%
G3643J108,FLUT,FLUTTER ENTMT PLC,1565150,125400,159.91M,12.81M,+8.7%,4.8%
L1995B107,CAAP,CORPORACION AMER ARPTS S A,13594321,429096,342.31M,10.8M,+3.3%,10.2%
83056P715,SKE,SKEENA RES LTD NEW,16822865,360000,448.5M,9.6M,+2.2%,13.4%
450047303,IRS,IRSA INVERSIONES Y REP S A,4906222,477516,75.75M,7.37M,+10.8%,2.3%
19425C100,CNL,COLLECTIVE MINING LTD,10655062,-324250,130.52M,-3.97M,-3%,3.9%
01921D204,AAUC,ALLIED GOLD CORP,11563292,-708910,274.98M,-16.86M,-5.8%,8.2%
29244A102,EDN,EMPRESA DIST Y COMERCIAL NOR,607528,-724086,15.16M,-18.07M,-54.4%,0.45%
552953101,MGM,MGM RESORTS INTERNATIONAL,2024930,-850074,96.81M,-40.64M,-29.6%,2.9%
893870204,TGS,TRANSPORTADORA DE GAS DEL SU,0,-2347333,0,-81.24M,CLOSE,0%
Total,,,,,3.35B,830.42M,+31.4%,100%
