CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
592688105,MTD,METTLER TOLEDO INTERNATIONAL,6195,3613,7.91M,4.62M,+139.9%,0.08%
060505104,BAC,BANK OF AMER CORP,825327,80390,47.02M,4.58M,+10.8%,0.48%
G25508105,CRH,CRH PLC,66348,42496,7.1M,4.55M,+178.2%,0.07%
302130109,EXPD,EXPEDITORS INTL WASH INC,60689,27154,9.89M,4.43M,+81%,0.1%
445658107,JBHT,HUNT J B TRANS SVCS INC,21722,15236,6.29M,4.41M,+234.9%,0.06%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,213958,195080,4.78M,4.36M,+1033.4%,0.05%
681919106,OMC,OMNICOM GROUP INC,101874,59846,7.42M,4.36M,+142.4%,0.08%
04626A103,ALAB,ASTERA LABS INC,14272,8974,6.89M,4.33M,+169.4%,0.07%
452308109,ITW,ILLINOIS TOOL WKS INC,70163,15658,18.98M,4.24M,+28.7%,0.2%
756109104,O,REALTY INCOME CORP,81527,68148,5.05M,4.22M,+509.4%,0.05%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC D,2025,2025,4.21M,4.21M,NEW,0.04%
21871X109,CRBG,COREBRIDGE FINL INC,145409,145409,4.16M,4.16M,NEW,0.04%
345370860,F,FORD MTR CO,786938,298170,10.94M,4.14M,+61%,0.11%
532457108,LLY,ELI LILLY & CO,142153,3439,170.5M,4.12M,+2.5%,1.8%
62944T105,NVR,NVR INC,603,603,4.11M,4.11M,NEW,0.04%
45168D104,IDXX,IDEXX LABS INC,14497,7795,7.63M,4.1M,+116.3%,0.08%
92343E102,VRSN,VERISIGN INC,19580,16071,4.92M,4.04M,+458%,0.05%
093712107,BE,BLOOM ENERGY CORP,28153,13145,8.52M,3.98M,+87.6%,0.09%
775109200,RCI,ROGERS COMMUNICATIONS INC,129853,122304,4.22M,3.98M,+1620.1%,0.04%
36467J108,GLPI,GAMING & LEISURE P,89168,89168,3.97M,3.97M,NEW,0.04%
75886F107,REGN,REGENERON PHARMACEUTICALS,15098,6343,9.41M,3.96M,+72.5%,0.1%
G0593M107,AZN,ASTRAZENECA PLC,862996,21075,161.5M,3.94M,+2.5%,1.7%
958102105,WDC,WESTERN DIGITAL CORP,45084,6167,28.8M,3.94M,+15.8%,0.3%
G3730V105,FTAI,FTAI AVIATION LTD,14557,14557,3.94M,3.94M,NEW,0.04%
219350105,GLW,CORNING INC,99611,15299,25.44M,3.91M,+18.1%,0.26%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,41050,8472,18.85M,3.89M,+26%,0.19%
194162103,CL,COLGATE PALMOLIVE CO,138302,41996,12.68M,3.85M,+43.6%,0.13%
615369105,MCO,MOODYS CORP,21937,8411,9.94M,3.81M,+62.2%,0.1%
086516101,BBY,BEST BUY INC,63037,49626,4.78M,3.77M,+370%,0.05%
988498101,YUM,YUM BRANDS INC,63063,23271,10.08M,3.72M,+58.5%,0.1%
559222401,MGA,MAGNA INTL INC,65078,55829,4.28M,3.67M,+603.6%,0.04%
126408103,CSX,CSX CORP,242105,76277,11.51M,3.63M,+46%,0.12%
N20944109,CNH,CNH INDL N V,357016,312380,4.01M,3.51M,+699.8%,0.04%
651639106,NEM,NEWMONT CORP,196917,37027,18.39M,3.46M,+23.2%,0.19%
29084Q100,EME,EMCOR GROUP INC,9027,4129,7.49M,3.43M,+84.3%,0.08%
H2906T109,GRMN,GARMIN LTD,17625,14319,4.19M,3.4M,+433.1%,0.04%
576323109,MTZ,MASTEC INC,8068,8068,3.36M,3.36M,NEW,0.03%
Y2573F102,FLEX,FLEX LTD,41260,19833,6.69M,3.21M,+92.6%,0.07%
594918104,MSFT,MICROSOFT CORP,1038106,8571,387.21M,3.2M,+0.8%,4%
146869102,CVNA,CARVANA CO,59249,48442,3.9M,3.19M,+448.2%,0.04%
147528103,CASY,CASEYS GEN STORES INC,3887,3887,3.09M,3.09M,NEW,0.03%
G3323L100,FN,FABRINET,5223,5223,2.94M,2.94M,NEW,0.03%
314352105,FDXF,FEDEX FGHT HLDG CO INC,18919,18919,2.86M,2.86M,NEW,0.03%
34959E109,FTNT,FORTINET INC,73100,18596,11.23M,2.86M,+34.1%,0.12%
192108504,CDE,COEUR MNG INC,172711,172711,2.82M,2.82M,NEW,0.03%
G87052109,TEL,TE CONNECTIVITY PLC,39545,13565,7.97M,2.73M,+52.2%,0.08%
64110D104,NTAP,NETAPP INC,28445,17324,4.4M,2.68M,+155.8%,0.05%
911312106,UPS,UNITED PARCEL SVCS INC,116768,24753,12.55M,2.66M,+26.9%,0.13%
747525103,QCOM,QUALCOMM INC,110942,14002,20.5M,2.59M,+14.4%,0.21%
609839105,MPWR,MONOLITHIC PWR SYS INC,6303,1831,8.71M,2.53M,+40.9%,0.09%
443510607,HUBB,HUBBELL INC,7673,4748,4.01M,2.48M,+162.3%,0.04%
91324P102,UNH,UNITEDHEALTH GROUP INC,217641,5941,90.45M,2.47M,+2.8%,0.93%
11135F101,AVGO,BROADCOM INC,721592,6420,272.53M,2.42M,+0.9%,2.8%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,90159,25081,8.67M,2.41M,+38.5%,0.09%
98956P102,ZBH,ZIMMER BIOMET HOLDINGS INC,50957,27917,4.39M,2.4M,+121.2%,0.05%
90384S303,ULTA,ULTA BEAUTY INC,8461,5283,3.82M,2.38M,+166.2%,0.04%
171779309,CIEN,CIENA CORP,17665,4833,8.67M,2.37M,+37.7%,0.09%
040413205,ANET,ARISTA NETWORKS INC,187059,13844,31.78M,2.35M,+8%,0.33%
49456B101,KMI,KINDER MORGAN INC DEL,723504,73238,23.13M,2.34M,+11.3%,0.24%
101137107,BSX,BOSTON SCIENTIFIC CORP,536832,52978,22.91M,2.26M,+10.9%,0.24%
12541W209,CHRW,C H ROBINSON WORLDWIDE IN,55427,11988,10.44M,2.26M,+27.6%,0.11%
