CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO CL A,22559570,18018279,1.48B,1.19B,+396.8%,78.9%
30303M102,META,META PLATFORMS INC,136246,136246,76.75M,76.75M,NEW,4.1%
57164Y107,VAC,MARRIOTT VACATIONS WORLDWIDE CORP.,400000,400000,40.75M,40.75M,NEW,2.2%
51819L107,SWIM,LATHAM GROUP,922639,-5906,5.97M,-38.21K,-0.6%,0.32%
43283X105,HGV,HILTON GRAND VACATIONS,5206856,-33035,272.68M,-1.73M,-0.6%,14.5%
14161W105,CDLX,"CARDLYTICS, INC.",470986,-4727081,2.11M,-21.22M,-90.9%,0.11%
14040H105,COF,CAPITAL ONE FINL CORP,0,-575548,0,-105M,CLOSE,0%
Total,,,,,1.88B,1.18B,+67.2%,100%
