CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
33833X101,FPLSF,5N Plus Inc,76131,-11582,187.61K,-28.54K,-13.2%,<.01%
D3207M110,HEN3.DE,Henkel AG & Co KGaA,2216,-436,177.3K,-34.88K,-16.4%,<.01%
01741R102,ATI,ATI Inc,4732,-791,209.3K,-34.99K,-14.3%,<.01%
S2192Y109,DSY.JO,Discovery Ltd,4102370,-4590,31.82M,-35.6K,-0.1%,0.21%
090043100,BILL,BILL Holdings Inc,276201,-310,32.27M,-36.22K,-0.1%,0.21%
N3501V104,ADYEN.AS,Adyen NV,21551,-24,37.31M,-41.55K,-0.1%,0.25%
084310101,,PhenomeX Inc,2220351,-85235,1.09M,-41.77K,-3.7%,<.01%
461202103,INTU,Intuit Inc,71541,-95,32.78M,-43.53K,-0.1%,0.22%
81726A100,SNTI,Senti Biosciences Inc,1829815,-71652,1.15M,-44.93K,-3.8%,<.01%
428291108,HXL,Hexcel Corp,2673,-633,203.2K,-48.12K,-19.1%,<.01%
F61824870,ML.PA,Cie Generale des Etablissement,69900,-1835,2.07M,-54.21K,-2.6%,0.01%
500458401,KMTUY,Komatsu Ltd,1559264,-2011,42.22M,-54.46K,-0.1%,0.28%
00783V104,ADYEY,Adyen NV,769156,-3165,13.3M,-54.72K,-0.4%,0.09%
71535D106,PSNL,Personalis Inc,5736163,-44201,10.78M,-83.1K,-0.8%,0.07%
031100100,AME,AMETEK Inc,20189,-529,3.27M,-85.63K,-2.6%,0.02%
00214Q302,ARKG,ARK Genomic Revolution ETF,3195,-2837,108.91K,-96.71K,-47%,<.01%
007800105,,Aerojet Rocketdyne Holdings In,38240,-1766,2.1M,-96.9K,-4.4%,0.01%
69370C100,PTC,PTC Inc,49995,-707,7.11M,-100.61K,-1.4%,0.05%
00214Q104,ARKK,ARK Innovation ETF,11044,-2512,487.47K,-110.88K,-18.5%,<.01%
W4R431112,HEXABS.XC,Hexagon AB,246217,-9561,3.03M,-117.74K,-3.7%,0.02%
